Fid,Big_cate,Type,Year,P_NSF(%),P_NGF(%)
1,Entertainment,DIY workshop,2015,43.95720313441832,34.553948161543104
2,Entertainment,DIY workshop,2019,52.79832275347971,23.13202492574689
3,Entertainment,DIY workshop,2023,65.56925308194343,38.448150833937625
4,Entertainment,KTV,2015,35.19172298514345,11.89820885629061
5,Entertainment,KTV,2019,41.79679894076872,18.458662720510922
6,Entertainment,KTV,2023,52.00877845032035,29.47860252734416
7,Daily service,Home repair service,2015,36.44974097872245,16.9531093670098
8,Daily service,Home repair service,2019,32.41123938139839,5.72859943367458
9,Daily service,Home repair service,2023,38.56951871657754,3.4926470588235197
10,F&B,Southeast Asian cuisine,2015,37.14217557251908,20.25286259541985
11,F&B,Southeast Asian cuisine,2019,47.15284715284715,14.418914418914419
12,F&B,Southeast Asian cuisine,2023,59.64766494931028,22.10403855742064
13,F&B,Chinese/Local cuisine,2015,32.793861476123745,4.50669645674758
14,F&B,Chinese/Local cuisine,2019,36.00182129243034,4.16160411189903
15,F&B,Chinese/Local cuisine,2023,45.73298350276595,6.84458019537327
16,F&B,Halal cuisine,2015,31.76008227429663,1.9760523029457098
17,Retail goods,Music shop,2019,36.18672535619136,11.0390362562261
18,Retail goods,Music shop,2023,45.953002610966045,11.82245430809399
19,Exercise,Table tennis center,2015,50.06361323155216,17.36641221374045
20,Exercise,Table tennis center,2019,56.12144955925563,19.29480901077375
21,Exercise,Table tennis center,2023,70.85714285714286,43.71428571428571
22,Retail goods,Bookstore,2015,33.01022975012577,3.57538151936944
23,Retail goods,Bookstore,2019,40.09727698146579,6.41143741479052
24,Retail goods,Bookstore,2023,46.310848583935446,9.47207425768683
25,Training,Calligraphy studio,2019,50.615595075239405,22.47711249079238
26,Training,Calligraphy studio,2023,52.373842938190506,26.54523738429382
27,Training,Parent-child education,2015,44.44243955250812,32.95290508841573
28,Training,Parent-child education,2019,50.998102284465155,24.45650868385019
29,Training,Parent-child education,2023,53.93457541069975,31.756789118252787
30,Entertainment,Parent-child recreation,2015,39.29665839778199,23.22340580767546
31,Entertainment,Parent-child recreation,2019,46.47149667629088,14.55269813558942
32,Entertainment,Parent-child recreation,2023,68.02159020137015,36.86111687772472
34,F&B,Conference banqueting,2019,50.27345006663909,10.84608667677742
35,F&B,Conference banqueting,2023,59.339872858165286,11.67431482339073
36,Retail goods,Pharmacy,2015,32.556955713232,1.3951942156058101
37,Retail goods,Pharmacy,2019,32.40032670052233,2.05669834871329
