fid,CityID ,City,CityName,Year,P_Horizontal (%),P_Vertical (%)
1,18,北京市,Beijing,2015,43.41406748,11.13714135
2,204,天津市,Tianjin,2015,34.91832593,8.857130693
3,187,石家庄市,Shijiazhuang,2015,31.88677607,7.569679604
4,203,唐山市,Tangshan,2015,32.72742609,3.854750959
5,164,秦皇岛市,Qinhuangdao,2015,37.14145423,3.727648431
6,66,邯郸市,Handan,2015,26.35934463,7.203554568
7,237,邢台市,Xingtai,2015,28.433252,5.359010108
8,15,保定市,Baoding,2015,34.17775412,5.023948909
9,266,张家口市,Zhangjiakou,2015,40.43900033,2.630713581
10,30,承德市,Chengde,2015,36.4698647,5.81795818
11,22,沧州市,Cangzhou,2015,26.39505696,2.973547017
12,117,廊坊市,Langfang,2015,28.56509532,5.061327028
13,76,衡水市,Hengshui,2015,23.25672499,5.889266127
14,200,太原市,Taiyuan,2015,31.73983463,7.327593556
15,38,大同市,Datong,2015,33.40014848,4.127691166
16,247,阳泉市,Yangquan,2015,37.78030734,2.959590211
17,271,长治市,Changzhi,2015,29.2693662,3.60915493
18,104,晋城市,Jincheng,2015,30.51213834,5.886265381
19,190,朔州市,Shuozhou,2015,29.58120144,1.743414819
20,105,晋中市,Jinzhong,2015,27.94065701,5.993170847
21,262,运城市,Yuncheng,2015,29.75672817,5.735104008
22,233,忻州市,Xinzhou,2015,25.42208422,3.299049098
23,126,临汾市,Linfen,2015,36.50049581,3.732083296
24,135,吕梁市,Lvliang,2015,32.6848249,5.081254292
25,78,呼和浩特市,Hohhot,2015,37.12892716,4.392499943
26,13,包头市,Baotou,2015,26.23945628,3.091813824
27,217,乌海市,Wuhai,2015,18.00524934,1.417322835
28,32,赤峰市,Chifeng,2015,25.25504244,2.196090647
29,208,通辽市,Tongliao,2015,28.3990759,4.380936083
30,46,鄂尔多斯市,Erdos,2015,32.51591606,3.14784249
31,79,呼伦贝尔市,Hulunbuir,2015,33.79837236,2.358412224
32,6,巴彦淖尔市,Bayannur,2015,26.30525741,1.073312716
33,218,乌兰察布市,Ulanqab,2015,26.25163256,1.06660862
34,28,沈阳市,Shenyang,2015,32.39212034,5.671972455
35,36,大连市,Dalian,2015,33.63975188,7.468622829
36,5,鞍山市,Anshan,2015,35.29172431,3.93034421
37,51,抚顺市,Fushun,2015,37.14762893,3.952629182
38,19,本溪市,Benxi,2015,43.38637291,3.182374541
39,39,丹东市,Dandong,2015,43.76840039,2.551521099
40,103,锦州市,Jinzhou,2015,34.80993349,1.732869608
41,255,营口市,Yingkou,2015,29.27347903,1.134081512
42,53,阜新市,Fuxin,2015,34.94334278,1.345609065
43,122,辽阳市,Liaoyang,2015,31.3767041,2.161474889
44,155,盘锦市,Panjin,2015,34.30985148,2.357269383
45,206,铁岭市,Tieling,2015,34.31875205,1.570851969
46,25,朝阳市,Chaoyang,2015,38.15881124,2.205711632
47,81,葫芦岛市,Huludao,2015,33.72504278,2.738163149
48,269,长春市,Changchun,2015,31.51551242,4.703150122
