Fid,CityID ,City,CityName,AdministrativeLevel,CityTier,Category_2015_2019,Category_2019_2023,Overall
1,18,北京市,Beijing,Municipality,Tier 1,HV,HV,HVHV
2,204,天津市,Tianjin,Municipality,Tier 1,HNV,HV,HNVHV
3,187,石家庄市,Shijiazhuang,Provincial captial city,Tier 2,HV,HV,HVHV
4,203,唐山市,Tangshan,Prefecture-level city,Tier 3,HV,HV,HVHV
5,164,秦皇岛市,Qinhuangdao,Prefecture-level city,Tier 3,HV,HV,HVHV
6,66,邯郸市,Handan,Prefecture-level city,Tier 3,HNV,HV,HNVHV
7,237,邢台市,Xingtai,Prefecture-level city,Tier 4,HNV,HV,HNVHV
8,15,保定市,Baoding,Prefecture-level city,Tier 3,HV,HV,HVHV
9,266,张家口市,Zhangjiakou,Prefecture-level city,Tier 4,HV,HV,HVHV
10,30,承德市,Chengde,Prefecture-level city,Tier 4,HV,HNV,HVHNV
11,22,沧州市,Cangzhou,Prefecture-level city,Tier 3,HV,HV,HVHV
12,117,廊坊市,Langfang,Prefecture-level city,Tier 3,HV,HV,HVHV
13,76,衡水市,Hengshui,Prefecture-level city,Tier 5,HV,HV,HVHV
14,200,太原市,Taiyuan,Provincial captial city,Tier 2,HV,HV,HVHV
15,38,大同市,Datong,Prefecture-level city,Tier 4,NHV,HV,NHVHV
16,247,阳泉市,Yangquan,Prefecture-level city,Tier 5,NHV,HV,NHVHV
17,271,长治市,Changzhi,Prefecture-level city,Tier 5,HV,HV,HVHV
18,104,晋城市,Jincheng,Prefecture-level city,Tier 5,HV,HV,HVHV
19,190,朔州市,Shuozhou,Prefecture-level city,Tier 5,NHV,HV,NHVHV
20,105,晋中市,Jinzhong,Prefecture-level city,Tier 4,HNV,HV,HNVHV
21,262,运城市,Yuncheng,Prefecture-level city,Tier 4,HNV,HV,HNVHV
22,233,忻州市,Xinzhou,Prefecture-level city,Tier 5,HV,HV,HVHV
23,126,临汾市,Linfen,Prefecture-level city,Tier 4,N_HV,HV,N_HVHV
24,135,吕梁市,Lvliang,Prefecture-level city,Tier 5,N_HV,HV,N_HVHV
25,78,呼和浩特市,Hohhot,Provincial captial city,Tier 3,HV,HV,HVHV
26,13,包头市,Baotou,Prefecture-level city,Tier 3,HV,HV,HVHV
27,217,乌海市,Wuhai,Prefecture-level city,Tier 5,NHV,HV,NHVHV
28,32,赤峰市,Chifeng,Prefecture-level city,Tier 4,HV,HV,HVHV
29,208,通辽市,Tongliao,Prefecture-level city,Tier 5,HNV,HV,HNVHV
30,46,鄂尔多斯市,Erdos,Prefecture-level city,Tier 4,NHV,HV,NHVHV
31,79,呼伦贝尔市,Hulunbuir,Prefecture-level city,Tier 5,HV,HV,HVHV
32,6,巴彦淖尔市,Bayannur,Prefecture-level city,Tier 5,NHV,HV,NHVHV
33,218,乌兰察布市,Ulanqab,Prefecture-level city,Tier 5,NHV,HV,NHVHV
34,28,沈阳市,Shenyang,Sub-provincial city,Tier 1,HV,HV,HVHV
35,36,大连市,Dalian,Sub-provincial city,Tier 2,HV,HV,HVHV
36,5,鞍山市,Anshan,Prefecture-level city,Tier 3,HV,HV,HVHV
37,51,抚顺市,Fushun,Prefecture-level city,Tier 5,N_HV,HV,N_HVHV
38,19,本溪市,Benxi,Prefecture-level city,Tier 5,NHV,HV,NHVHV
39,39,丹东市,Dandong,Prefecture-level city,Tier 4,NHV,HV,NHVHV
40,103,锦州市,Jinzhou,Prefecture-level city,Tier 4,NHV,HNV,NHVHNV
41,255,营口市,Yingkou,Prefecture-level city,Tier 4,NHV,HV,NHVHV
42,53,阜新市,Fuxin,Prefecture-level city,Tier 5,NHV,HV,NHVHV
43,122,辽阳市,Liaoyang,Prefecture-level city,Tier 5,N_HV,HV,N_HVHV
44,155,盘锦市,Panjin,Prefecture-level city,Tier 4,HV,HV,HVHV
45,206,铁岭市,Tieling,Prefecture-level city,Tier 5,NHV,HV,NHVHV
46,25,朝阳市,Chaoyang,Prefecture-level city,Tier 5,NHV,HV,NHVHV
47,81,葫芦岛市,Huludao,Prefecture-level city,Tier 5,NHV,HV,NHVHV
48,269,长春市,Changchun,Sub-provincial city,Tier 2,HV,HV,HVHV
49,92,吉林市,Jilin,Prefecture-level city,Tier 3,HV,HV,HVHV
50,191,四平市,Siping,Prefecture-level city,Tier 5,NHV,HV,NHVHV
51,123,辽源市,Liaoyuan,Prefecture-level city,Tier 5,NHV,HNV,NHVHNV
52,207,通化市,Tonghua,Prefecture-level city,Tier 5,HNV,HV,HNVHV
53,9,白山市,Baishan,Prefecture-level city,Tier 5,HV,HV,HVHV
54,192,松原市,Songyuan,Prefecture-level city,Tier 5,HV,HNV,HVHNV
55,8,白城市,Baicheng,Prefecture-level city,Tier 5,HV,HV,HVHV
56,63,哈尔滨市,Harbin,Sub-provincial city,Tier 2,HV,HV,HVHV
57,162,齐齐哈尔市,Qiqihar,Prefecture-level city,Tier 4,HV,HV,HVHV
58,90,鸡西市,Jixi,Prefecture-level city,Tier 5,HV,HV,HVHV
59,74,鹤岗市,Hegang,Prefecture-level city,Tier 5,NHV,HV,NHVHV
60,189,双鸭山市,Shuangyashan,Prefecture-level city,Tier 5,HV,HV,HVHV
61,37,大庆市,Daqing,Prefecture-level city,Tier 3,HV,HV,HVHV
62,248,伊春市,Yichun,Prefecture-level city,Tier 5,HV,HV,HVHV
63,95,佳木斯市,Jiamusi,Prefecture-level city,Tier 4,HV,HNV,HVHNV
64,161,七台河市,Qitaihe,Prefecture-level city,Tier 5,HV,HV,HVHV
65,143,牡丹江市,Mudanjiang,Prefecture-level city,Tier 4,HNV,HV,HNVHV
66,75,黑河市,Heihe,Prefecture-level city,Tier 5,NHV,HV,NHVHV
67,196,绥化市,Suihua,Prefecture-level city,Tier 4,HV,HV,HVHV
68,180,上海市,Shanghai,Municipality,Tier 1,HV,HV,HVHV
69,146,南京市,Nanjing,Sub-provincial city,Tier 1,HV,HV,HVHV
70,220,无锡市,Wuxi,Prefecture-level city,Tier 2,HV,HV,HVHV
71,238,徐州市,Xuzhou,Prefecture-level city,Tier 2,HV,HV,HVHV
72,24,常州市,Changzhou,Prefecture-level city,Tier 2,HV,HV,HVHV
73,193,苏州市,Suzhou,Prefecture-level city,Tier 1,HV,HV,HVHV
74,149,南通市,Nantong,Prefecture-level city,Tier 2,HV,HV,HVHV
75,121,连云港市,Lianyungang,Prefecture-level city,Tier 3,HV,HV,HVHV
76,83,淮安市,Huai'an,Prefecture-level city,Tier 3,NHV,HV,NHVHV
77,244,盐城市,Yancheng,Prefecture-level city,Tier 3,HV,HV,HVHV
78,245,扬州市,Yangzhou,Prefecture-level city,Tier 2,HV,HV,HVHV
79,274,镇江市,Zhenjiang,Prefecture-level city,Tier 3,HV,HV,HVHV
80,202,泰州市,Taizhou,Prefecture-level city,Tier 3,NHV,HV,NHVHV
81,194,宿迁市,Suqian,Prefecture-level city,Tier 3,HV,HV,HVHV
82,68,杭州市,Hangzhou,Sub-provincial city,Tier 1,HV,HV,HVHV
83,152,宁波市,Ningbo,Sub-provincial city,Tier 1,HV,HV,HVHV
84,216,温州市,Wenzhou,Prefecture-level city,Tier 2,HV,HV,HVHV
85,96,嘉兴市,Jiaxing,Prefecture-level city,Tier 2,HV,HV,HVHV
86,80,湖州市,Huzhou,Prefecture-level city,Tier 3,HV,HV,HVHV
87,184,绍兴市,Shaoxing,Prefecture-level city,Tier 2,HV,HV,HVHV
88,102,金华市,Jinhua,Prefecture-level city,Tier 2,HV,HV,HVHV
89,169,衢州市,Quzhou,Prefecture-level city,Tier 4,HV,HV,HVHV
90,279,舟山市,Zhoushan,Prefecture-level city,Tier 3,HV,HV,HVHV
91,199,台州市,Taizhou,Prefecture-level city,Tier 2,NHV,HV,NHVHV
92,120,丽水市,Lishui,Prefecture-level city,Tier 3,HV,HV,HVHV
93,69,合肥市,Hefei,Provincial captial city,Tier 2,HV,HV,HVHV
94,222,芜湖市,Wuhu,Prefecture-level city,Tier 3,HV,HV,HVHV
95,12,蚌埠市,Bengbu,Prefecture-level city,Tier 3,NHV,HV,NHVHV
96,85,淮南市,Huainan,Prefecture-level city,Tier 4,NHV,HV,NHVHV
97,138,马鞍山市,Maanshan,Prefecture-level city,Tier 3,HV,HV,HVHV
98,84,淮北市,Huaibei,Prefecture-level city,Tier 5,NHV,HV,NHVHV
99,210,铜陵市,Tongling,Prefecture-level city,Tier 4,HV,HV,HVHV
100,2,安庆市,Anqing,Prefecture-level city,Tier 3,HV,HV,HVHV
101,87,黄山市,Huangshan,Prefecture-level city,Tier 4,NHV,HV,NHVHV
102,34,滁州市,Chuzhou,Prefecture-level city,Tier 3,HNV,HV,HNVHV
103,54,阜阳市,Fuyang,Prefecture-level city,Tier 3,HV,HV,HVHV
104,195,宿州市,Suzhou,Prefecture-level city,Tier 4,HNV,HV,HNVHV
105,129,六安市,Lu'an,Prefecture-level city,Tier 4,HV,HV,HVHV
106,21,亳州市,Bozhou,Prefecture-level city,Tier 4,HNV,HV,HNVHV
107,31,池州市,Chizhou,Prefecture-level city,Tier 5,HV,HV,HVHV
108,240,宣城市,Xuancheng,Prefecture-level city,Tier 4,HV,HV,HVHV
109,50,福州市,Fuzhou,Provincial captial city,Tier 2,HV,HV,HVHV
110,175,厦门市,Xiamen,Sub-provincial city,Tier 2,HV,HNV,HVHNV
