Fid,CityID ,City,CityName,Year,Big_cate,P_NSF(%),P_NGF(%)
1,18,北京市,Beijing,2015,Beauty,44.8621244,20.17523715
2,18,北京市,Beijing,2015,Entertainment,47.94706994,17.20982987
3,18,北京市,Beijing,2015,Training,55.02325581,42.09302326
4,18,北京市,Beijing,2015,Daily service,47.19804746,12.61922348
5,18,北京市,Beijing,2015,Retail goods,41.19453401,7.575234147
6,18,北京市,Beijing,2015,Exercise,56.21908127,20.57420495
7,18,北京市,Beijing,2015,F&B,41.28714908,7.689478245
8,204,天津市,Tianjin,2015,Beauty,37.21130645,16.97115937
9,204,天津市,Tianjin,2015,Entertainment,37.96224961,12.26887519
10,204,天津市,Tianjin,2015,Training,46.3963964,37.61261261
11,204,天津市,Tianjin,2015,Daily service,35.73519993,10.06496477
12,204,天津市,Tianjin,2015,Retail goods,33.8565582,6.755340387
13,204,天津市,Tianjin,2015,Exercise,45.63600783,20.19569472
14,204,天津市,Tianjin,2015,F&B,33.62288736,5.918232462
15,187,石家庄市,Shijiazhuang,2015,Beauty,33.07174888,18.45571749
16,187,石家庄市,Shijiazhuang,2015,Entertainment,36.38271087,14.64540495
17,187,石家庄市,Shijiazhuang,2015,Training,45.02617801,42.40837696
18,187,石家庄市,Shijiazhuang,2015,Daily service,36.34825758,7.589940228
19,187,石家庄市,Shijiazhuang,2015,Retail goods,32.37329133,3.054508635
20,187,石家庄市,Shijiazhuang,2015,Exercise,39.43661972,23.83531961
21,187,石家庄市,Shijiazhuang,2015,F&B,28.10222572,5.790821351
22,203,唐山市,Tangshan,2015,Beauty,34.3006993,7.552447552
23,203,唐山市,Tangshan,2015,Entertainment,37.31182796,8.924731183
24,203,唐山市,Tangshan,2015,Training,29.50819672,13.1147541
25,203,唐山市,Tangshan,2015,Daily service,33.5303186,2.492291881
26,203,唐山市,Tangshan,2015,Retail goods,32.74693771,2.071931196
27,203,唐山市,Tangshan,2015,Exercise,43.68600683,12.62798635
28,203,唐山市,Tangshan,2015,F&B,30.84614423,3.924509436
29,164,秦皇岛市,Qinhuangdao,2015,Beauty,40.78549849,11.5235218
30,164,秦皇岛市,Qinhuangdao,2015,Entertainment,40.76246334,10.55718475
31,164,秦皇岛市,Qinhuangdao,2015,Training,40.81632653,25.51020408
32,164,秦皇岛市,Qinhuangdao,2015,Daily service,33.48281016,3.916292975
33,164,秦皇岛市,Qinhuangdao,2015,Retail goods,35.69078947,1.398026316
34,164,秦皇岛市,Qinhuangdao,2015,Exercise,54.65116279,15.69767442
35,164,秦皇岛市,Qinhuangdao,2015,F&B,37.56988818,2.236421725
36,66,邯郸市,Handan,2015,Beauty,30.16579054,17.83259199
37,66,邯郸市,Handan,2015,Entertainment,30.05181347,17.30569948
38,66,邯郸市,Handan,2015,Training,38.27160494,41.97530864
39,66,邯郸市,Handan,2015,Daily service,25.31545741,4.534700315
40,66,邯郸市,Handan,2015,Retail goods,26.07243771,3.698946828
41,66,邯郸市,Handan,2015,Exercise,39.09090909,22.27272727
42,66,邯郸市,Handan,2015,F&B,24.70333036,4.427714687
43,237,邢台市,Xingtai,2015,Beauty,35.68429891,11.75482788
44,237,邢台市,Xingtai,2015,Entertainment,32.24400871,12.41830065
45,237,邢台市,Xingtai,2015,Training,38.46153846,33.33333333
46,237,邢台市,Xingtai,2015,Daily service,25.61635598,4.389657246
47,237,邢台市,Xingtai,2015,Retail goods,27.4794388,2.878567973
48,237,邢台市,Xingtai,2015,Exercise,33.33333333,23.25581395
