Year,D_Bldback(m),Percentage(%)
2015,100-120,1.245874
2015,120-140,0.932355
2015,20-40,18.988013
2015,40-60,4.677521
2015,60-80,2.485685
2015,80-100,1.678452
2015,<20,66.559754
2015,>140,3.432346
2019,100-120,1.956277
2019,120-140,1.501413
2019,20-40,17.418541
2019,40-60,5.98742
2019,60-80,3.699968
2019,80-100,2.626206
2019,<20,61.303457
2019,>140,5.506717
2023,100-120,2.225669
2023,120-140,1.681973
2023,20-40,22.053106
2023,40-60,7.474856
2023,60-80,4.38627
2023,80-100,3.045106
2023,<20,52.911853
2023,>140,6.221168
