Year,CityTier,D_Bldback(m),Percentage(%)
2015,Tier 1,100-120,1.5288646904715115
2015,Tier 1,120-140,1.121691890542885
2015,Tier 1,20-40,17.580527320273102
2015,Tier 1,40-60,5.188808339130424
2015,Tier 1,60-80,2.948800333719538
2015,Tier 1,80-100,2.032367660551288
2015,Tier 1,<20,65.44806188279065
2015,Tier 1,>140,4.150877882520596
2015,Tier 2,100-120,1.1005430365553672
2015,Tier 2,120-140,0.8600362959284689
2015,Tier 2,20-40,19.620326994825888
2015,Tier 2,40-60,4.546680171930766
2015,Tier 2,60-80,2.3455303546534196
2015,Tier 2,80-100,1.5078682612057464
2015,Tier 2,<20,66.87387770426659
2015,Tier 2,>140,3.1451371806337574
2015,Tier 3,100-120,1.0227946965226953
2015,Tier 3,120-140,0.791544152089555
2015,Tier 3,20-40,19.86223581638674
2015,Tier 3,40-60,4.281340036914622
2015,Tier 3,60-80,2.1013886537668203
2015,Tier 3,80-100,1.4122390213516405
2015,Tier 3,<20,67.53995112017633
2015,Tier 3,>140,2.9885065027916067
2015,Tier 4,100-120,0.9217216630746375
2015,Tier 4,120-140,0.7026689125567576
2015,Tier 4,20-40,20.765416082526
2015,Tier 4,40-60,3.968974283860978
2015,Tier 4,60-80,1.871168211587956
2015,Tier 4,80-100,1.2617438429829886
2015,Tier 4,<20,67.79885334058714
2015,Tier 4,>140,2.7094536628235444
2015,Tier 5,100-120,0.9094532919610229
2015,Tier 5,120-140,0.6377938514003544
2015,Tier 5,20-40,21.191543612139856
2015,Tier 5,40-60,3.8571426062799516
2015,Tier 5,60-80,1.8199602081259012
2015,Tier 5,80-100,1.214828707045058
2015,Tier 5,<20,68.41287318052271
2015,Tier 5,>140,1.956404542525151
2019,Tier 1,100-120,2.490266992823627
2019,Tier 1,120-140,1.9047905479179588
2019,Tier 1,20-40,17.222705993808514
2019,Tier 1,40-60,7.260196267777571
2019,Tier 1,60-80,4.619304661844178
2019,Tier 1,80-100,3.3303139165143394
2019,Tier 1,<20,56.20091735908359
2019,Tier 1,>140,6.971504260230218
2019,Tier 2,100-120,1.9099797066714634
2019,Tier 2,120-140,1.464489208560187
2019,Tier 2,20-40,17.615343884512974
2019,Tier 2,40-60,6.033122968450335
2019,Tier 2,60-80,3.6431971746417
2019,Tier 2,80-100,2.5381101616119133
2019,Tier 2,<20,61.45985290503685
2019,Tier 2,>140,5.335903990514579
2019,Tier 3,100-120,1.5756787151465914
2019,Tier 3,120-140,1.2386672777149914
2019,Tier 3,20-40,17.50536336674888
2019,Tier 3,40-60,5.035477888998572
2019,Tier 3,60-80,3.037325210951901
2019,Tier 3,80-100,2.1516647008950294
2019,Tier 3,<20,64.64283105633592
2019,Tier 3,>140,4.812991783208108
2019,Tier 4,100-120,1.3879396059222662
2019,Tier 4,120-140,1.1001868125898933
2019,Tier 4,20-40,17.615931264303207
2019,Tier 4,40-60,4.598187610853552
2019,Tier 4,60-80,2.7664323046438635
2019,Tier 4,80-100,1.9131404117434505
2019,Tier 4,<20,66.62195130591684
2019,Tier 4,>140,3.996230684026933
2019,Tier 5,100-120,1.3547926767726561
2019,Tier 5,120-140,0.9505677042139449
2019,Tier 5,20-40,17.26285285699784
2019,Tier 5,40-60,4.263532772895675
2019,Tier 5,60-80,2.546361719639491
2019,Tier 5,80-100,1.7902017619388775
2019,Tier 5,<20,68.75366522869201
2019,Tier 5,>140,3.0780252788495033
2023,Tier 1,100-120,2.63679154321732
2023,Tier 1,120-140,1.9694909027816998
2023,Tier 1,20-40,21.588740300226775
2023,Tier 1,40-60,8.642624508937454
2023,Tier 1,60-80,5.205046756837478
2023,Tier 1,80-100,3.6134469601568346
2023,Tier 1,<20,49.279198282673946
2023,Tier 1,>140,7.064660745168494
2023,Tier 2,100-120,2.205036289145342
2023,Tier 2,120-140,1.6732757995989702
2023,Tier 2,20-40,21.347785601877895
2023,Tier 2,40-60,7.359657327592527
2023,Tier 2,60-80,4.311679085581395
2023,Tier 2,80-100,2.9949906863375464
2023,Tier 2,<20,53.947656672473656
2023,Tier 2,>140,6.159918537392669
2023,Tier 3,100-120,1.9362152380376954
2023,Tier 3,120-140,1.481133341620456
2023,Tier 3,20-40,22.373151307178052
2023,Tier 3,40-60,6.719799999702852
2023,Tier 3,60-80,3.869260899258468
2023,Tier 3,80-100,2.6674960392670948
2023,Tier 3,<20,54.987106260558036
2023,Tier 3,>140,5.965836914377349
2023,Tier 4,100-120,1.8339850857264333
2023,Tier 4,120-140,1.4194055019552572
2023,Tier 4,20-40,22.993506685095788
2023,Tier 4,40-60,6.391107419234526
2023,Tier 4,60-80,3.584751641863762
2023,Tier 4,80-100,2.521067527297569
2023,Tier 4,<20,55.85491530245018
2023,Tier 4,>140,5.401260836376483
2023,Tier 5,100-120,1.6679292489696247
2023,Tier 5,120-140,1.2536181686994041
2023,Tier 5,20-40,23.997867816637033
2023,Tier 5,40-60,5.844415444402959
2023,Tier 5,60-80,3.2614241688266628
2023,Tier 5,80-100,2.253679396937868
2023,Tier 5,<20,57.384785863240126
2023,Tier 5,>140,4.336279892286322
