Year,LayerType,Percentage(%)
2015,1 Underground,0.512268
2015,2 Ground floor,93.368545
2015,3 Low rise,2.950477
2015,4 Mid rise,1.310883
2015,5 High rise L1,0.687945
2015,6 High rise L2,1.050755
2015,7 High rise L3,0.109391
2015,8 Extra high rise,0.009734
2019,1 Underground,0.322424
2019,2 Ground floor,92.42914
2019,3 Low rise,3.3398
2019,4 Mid rise,1.482357
2019,5 High rise L1,0.87106
2019,6 High rise L2,1.384136
2019,7 High rise L3,0.149224
2019,8 Extra high rise,0.021858
2023,1 Underground,0.490465
2023,2 Ground floor,90.124534
2023,3 Low rise,4.944567
2023,4 Mid rise,1.764197
2023,5 High rise L1,0.888155
2023,6 High rise L2,1.518488
2023,7 High rise L3,0.234768
2023,8 Extra high rise,0.034826
