Fid,CityID ,City,CityName,Year,P_NSF(%)
1,18,北京市,Beijing,2015,43.41406748
2,204,天津市,Tianjin,2015,34.91832593
3,187,石家庄市,Shijiazhuang,2015,31.88677607
4,203,唐山市,Tangshan,2015,32.72742609
5,164,秦皇岛市,Qinhuangdao,2015,37.14145423
6,66,邯郸市,Handan,2015,26.35934463
7,237,邢台市,Xingtai,2015,28.433252
8,15,保定市,Baoding,2015,34.17775412
9,266,张家口市,Zhangjiakou,2015,40.43900033
10,30,承德市,Chengde,2015,36.4698647
11,22,沧州市,Cangzhou,2015,26.39505696
12,117,廊坊市,Langfang,2015,28.56509532
13,200,太原市,Taiyuan,2015,31.73983463
14,78,呼和浩特市,Hohhot,2015,37.12892716
15,13,包头市,Baotou,2015,26.23945628
16,46,鄂尔多斯市,Erdos,2015,32.51591606
17,28,沈阳市,Shenyang,2015,32.39212034
18,36,大连市,Dalian,2015,33.63975188
19,155,盘锦市,Panjin,2015,34.30985148
20,269,长春市,Changchun,2015,31.51551242
21,92,吉林市,Jilin,2015,34.33676755
22,63,哈尔滨市,Harbin,2015,40.65804051
23,180,上海市,Shanghai,2015,28.18999282
24,146,南京市,Nanjing,2015,33.03248332
25,220,无锡市,Wuxi,2015,35.45621486
26,238,徐州市,Xuzhou,2015,36.14115928
27,24,常州市,Changzhou,2015,29.70686099
28,193,苏州市,Suzhou,2015,36.5690006
29,149,南通市,Nantong,2015,31.66868913
30,121,连云港市,Lianyungang,2015,33.4325624
31,83,淮安市,Huai'an,2015,33.53638814
32,244,盐城市,Yancheng,2015,35.84483689
33,245,扬州市,Yangzhou,2015,35.54431614
34,274,镇江市,Zhenjiang,2015,32.01478166
35,202,泰州市,Taizhou,2015,26.46846847
36,68,杭州市,Hangzhou,2015,32.56089276
37,152,宁波市,Ningbo,2015,32.13514846
38,216,温州市,Wenzhou,2015,32.80252053
39,96,嘉兴市,Jiaxing,2015,29.16085866
40,184,绍兴市,Shaoxing,2015,31.89950935
41,102,金华市,Jinhua,2015,28.47091016
42,199,台州市,Taizhou,2015,33.26214386
43,69,合肥市,Hefei,2015,28.03912436
44,222,芜湖市,Wuhu,2015,31.45713654
45,50,福州市,Fuzhou,2015,33.39949532
46,175,厦门市,Xiamen,2015,36.89377436
47,170,泉州市,Quanzhou,2015,32.01353365
48,153,宁德市,Ningde,2015,41.79153631
49,144,南昌市,Nanchang,2015,31.03608978
50,109,九江市,Jiujiang,2015,40.57107955
51,55,赣州市,Ganzhou,2015,26.27955015
52,93,济南市,Ji'nan,2015,32.9603791
53,165,青岛市,Qingdao,2015,32.04539178
54,285,淄博市,Zibo,2015,31.89747056
55,263,枣庄市,Zaozhuang,2015,26.47026492
56,45,东营市,Dongying,2015,29.56295084
57,242,烟台市,Yantai,2015,31.25359499
58,214,潍坊市,Weifang,2015,25.6408499
59,94,济宁市,Jining,2015,28.9097945
60,201,泰安市,Tai'an,2015,30.20123759
