Fid,CityID ,City,CityName,Year,P_NSF(%)
1,18,北京市,Beijing,2015,44.36485801
2,204,天津市,Tianjin,2015,31.11901291
3,187,石家庄市,Shijiazhuang,2015,33.25677698
4,203,唐山市,Tangshan,2015,32.7039844
5,164,秦皇岛市,Qinhuangdao,2015,36.79338104
6,66,邯郸市,Handan,2015,22.77711561
7,237,邢台市,Xingtai,2015,24.75700935
8,15,保定市,Baoding,2015,29.95489897
9,266,张家口市,Zhangjiakou,2015,35.22629496
10,30,承德市,Chengde,2015,34.6935769
11,22,沧州市,Cangzhou,2015,23.6723936
12,117,廊坊市,Langfang,2015,25.52861156
13,200,太原市,Taiyuan,2015,30.47522611
14,78,呼和浩特市,Hohhot,2015,31.57894737
15,13,包头市,Baotou,2015,23.48613833
16,46,鄂尔多斯市,Erdos,2015,30.61965258
17,28,沈阳市,Shenyang,2015,31.5842676
18,36,大连市,Dalian,2015,30.59292082
19,155,盘锦市,Panjin,2015,28.49905003
20,269,长春市,Changchun,2015,28.80083345
21,92,吉林市,Jilin,2015,29.87311015
22,63,哈尔滨市,Harbin,2015,34.64930249
23,180,上海市,Shanghai,2015,25.98611257
24,146,南京市,Nanjing,2015,35.91851196
25,220,无锡市,Wuxi,2015,32.76425551
26,238,徐州市,Xuzhou,2015,33.68782354
27,24,常州市,Changzhou,2015,30.28713502
28,193,苏州市,Suzhou,2015,33.23958546
29,149,南通市,Nantong,2015,28.46336584
30,121,连云港市,Lianyungang,2015,26.04824068
31,83,淮安市,Huai'an,2015,26.06646981
32,244,盐城市,Yancheng,2015,30.02488004
33,245,扬州市,Yangzhou,2015,29.58776187
34,274,镇江市,Zhenjiang,2015,25.8239466
35,202,泰州市,Taizhou,2015,25.77833874
36,68,杭州市,Hangzhou,2015,30.43393184
37,152,宁波市,Ningbo,2015,26.84171145
38,216,温州市,Wenzhou,2015,28.30340007
39,96,嘉兴市,Jiaxing,2015,22.73541597
40,184,绍兴市,Shaoxing,2015,26.78817697
41,102,金华市,Jinhua,2015,23.74124272
42,199,台州市,Taizhou,2015,26.59332667
43,69,合肥市,Hefei,2015,24.96530615
44,222,芜湖市,Wuhu,2015,29.00970649
45,50,福州市,Fuzhou,2015,34.38500369
46,175,厦门市,Xiamen,2015,33.94584832
47,170,泉州市,Quanzhou,2015,26.03977204
48,153,宁德市,Ningde,2015,36.29291392
49,144,南昌市,Nanchang,2015,28.18283582
50,109,九江市,Jiujiang,2015,35.59362172
51,55,赣州市,Ganzhou,2015,20.59747093
52,93,济南市,Ji'nan,2015,30.52223903
53,165,青岛市,Qingdao,2015,27.96090649
54,285,淄博市,Zibo,2015,27.77903299
55,263,枣庄市,Zaozhuang,2015,21.51742687
56,45,东营市,Dongying,2015,24.95354393
57,242,烟台市,Yantai,2015,30.29205726
58,214,潍坊市,Weifang,2015,23.97076986
59,94,济宁市,Jining,2015,28.89326186
60,201,泰安市,Tai'an,2015,28.03227054
61,213,威海市,Weihai,2015,28.5607922
62,171,日照市,Rizhao,2015,16.69650502
63,127,临沂市,Linyi,2015,22.82259225
64,42,德州市,Dezhou,2015,24.09703504
65,20,滨州市,Binzhou,2015,19.34916447
66,275,郑州市,Zhengzhou,2015,31.06648651
67,111,开封市,Kaifeng,2015,28.71260444
68,136,洛阳市,Luoyang,2015,29.55828105
69,4,安阳市,Anyang,2015,21.84470588
70,234,新乡市,Xinxiang,2015,24.36882547
71,99,焦作市,Jiaozuo,2015,22.5850966
72,160,濮阳市,Puyang,2015,12.76567304
73,239,许昌市,Xuchang,2015,20.32045036
74,150,南阳市,Nanyang,2015,28.04670396
75,179,商丘市,Shangqiu,2015,10.23280996
76,280,周口市,Zhoukou,2015,24.46711129
77,224,武汉市,Wuhan,2015,33.63761783
78,250,宜昌市,Yichang,2015,22.24219277
79,232,孝感市,Xiaogan,2015,25.10514397
80,86,黄冈市,Huanggang,2015,28.41193894
81,270,长沙市,Changsha,2015,27.50005325
82,281,株洲市,Zhuzhou,2015,33.84669728
83,230,湘潭市,Xiangtan,2015,23.26934769
84,77,衡阳市,Hengyang,2015,29.72443909
85,183,邵阳市,Shaoyang,2015,24.79523455
86,260,岳阳市,Yueyang,2015,17.0532646
87,23,常德市,Changde,2015,16.25728322
88,27,郴州市,Chenzhou,2015,29.60414797
89,59,广州市,Guangzhou,2015,33.5194224
90,185,深圳市,Shenzhen,2015,39.80981267
91,282,珠海市,Zhuhai,2015,29.66637442
92,176,汕头市,Shantou,2015,24.58656374
93,49,佛山市,Foshan,2015,28.5901348
94,98,江门市,Jiangmen,2015,25.02501
95,139,茂名市,Maoming,2015,18.78298331
96,273,肇庆市,Zhaoqing,2015,26.54602952
97,89,惠州市,Huizhou,2015,29.17720064
98,141,梅州市,Meizhou,2015,26.4849075
99,166,清远市,Qingyuan,2015,29.42209584
100,44,东莞市,Dongguan,2015,28.07470461
101,276,中山市,Zhongshan,2015,26.94805195
102,26,潮州市,Chaozhou,2015,22.60662094
103,147,南宁市,Nanning,2015,32.09257473
104,62,桂林市,Guilin,2015,27.74761905
105,17,北海市,Beihai,2015,8.067398519
106,65,海口市,Haikou,2015,27.9976737
107,174,三亚市,Sanya,2015,34.08084767
108,278,重庆市,Chongqing,2015,31.53594885
109,29,成都市,Chengdu,2015,29.28265672
110,41,德阳市,Deyang,2015,22.44135086
111,142,绵阳市,Mianyang,2015,28.19576333
112,140,眉山市,Meishan,2015,27.85085448
113,61,贵阳市,Guiyang,2015,29.43224424
114,113,昆明市,Kunming,2015,32.08495161
115,119,丽江市,Lijiang,2015,43.04652326
116,114,拉萨市,Lasa,2015,26.83926809
117,116,兰州市,Lanzhou,2015,29.17038593
118,227,西宁市,Xining,2015,33.66208408
119,253,银川市,Yinchuan,2015,42.88303694
120,219,乌鲁木齐市,Urumqi,2015,31.68012023
121,18,北京市,Beijing,2019,54.92464264
122,204,天津市,Tianjin,2019,41.13622932
123,187,石家庄市,Shijiazhuang,2019,41.60176502
124,203,唐山市,Tangshan,2019,35.85669236
125,164,秦皇岛市,Qinhuangdao,2019,40.92857774
126,66,邯郸市,Handan,2019,29.36466104
127,237,邢台市,Xingtai,2019,29.65393329
128,15,保定市,Baoding,2019,34.00173155
129,266,张家口市,Zhangjiakou,2019,38.18973623
130,30,承德市,Chengde,2019,36.55257562
131,22,沧州市,Cangzhou,2019,35.43449696
132,117,廊坊市,Langfang,2019,34.43167475
133,200,太原市,Taiyuan,2019,38.88054152
134,78,呼和浩特市,Hohhot,2019,37.21097595
135,13,包头市,Baotou,2019,24.61902894
136,46,鄂尔多斯市,Erdos,2019,29.04374666
137,28,沈阳市,Shenyang,2019,34.82235361
138,36,大连市,Dalian,2019,37.70259615
139,155,盘锦市,Panjin,2019,31.1989049
140,269,长春市,Changchun,2019,35.98515524
141,92,吉林市,Jilin,2019,34.71626298
142,63,哈尔滨市,Harbin,2019,42.79481501
143,180,上海市,Shanghai,2019,37.36447294
144,146,南京市,Nanjing,2019,45.89492
