Year,Threshold(m),median_P_NSF(%),sem,ci_lower95_P_NSF(%),ci_upper95_P_NSF(%)
2015,10,58.726355,0.424431,57.89447,59.55824
2015,15,44.824334,0.373151,44.092957,45.555711
2015,20,32.014782,0.31363,31.400067,32.629497
2015,25,23.232242,0.266247,22.710397,23.754087
2015,30,17.36085,0.239505,16.891421,17.830279
2019,10,59.641701,0.385705,58.885719,60.397683
2019,15,46.084185,0.364342,45.370075,46.798295
2019,20,34.436087,0.346895,33.756172,35.116002
2019,25,26.645051,0.333846,25.990713,27.299389
2019,30,21.245994,0.321042,20.616752,21.875236
2023,10,74.182035,0.218151,73.754459,74.60961
2023,15,58.448317,0.289151,57.881581,59.015052
2023,20,44.423979,0.328273,43.780564,45.067393
2023,25,34.438405,0.33627,33.779316,35.097494
2023,30,27.841163,0.33133,27.191756,28.490569
