Year,Big_cate,D_Bldback(m),Percentage(%)
2015,Beauty,100-120,1.3782931923845745
2015,Beauty,120-140,1.0299141779777545
2015,Beauty,20-40,19.619153858247675
2015,Beauty,40-60,5.278341356531982
2015,Beauty,60-80,2.8481731313932914
2015,Beauty,80-100,1.9033572656739364
2015,Beauty,<20,64.73760521869767
2015,Beauty,>140,3.205161799093117
2015,Daily service,100-120,1.1941140906375975
2015,Daily service,120-140,0.9125497509484416
2015,Daily service,20-40,18.734759633738037
2015,Daily service,40-60,4.963587511438837
2015,Daily service,60-80,2.4879583982523465
2015,Daily service,80-100,1.6389729614212103
2015,Daily service,<20,66.83385786069552
2015,Daily service,>140,3.234199792868011
2015,Entertainment,100-120,1.4109763415200947
2015,Entertainment,120-140,1.0936107189805453
2015,Entertainment,20-40,20.460544342741
2015,Entertainment,40-60,5.63558102188262
2015,Entertainment,60-80,3.047750519404393
2015,Entertainment,80-100,1.9239640527069728
2015,Entertainment,<20,62.73607319873331
2015,Entertainment,>140,3.6914998040310634
2015,F&B,100-120,1.3428740819429612
2015,F&B,120-140,1.0013297449545437
2015,F&B,20-40,17.419584094679337
2015,F&B,40-60,4.915979195382737
2015,F&B,60-80,2.7226294163523095
2015,F&B,80-100,1.8244998494451916
2015,F&B,<20,66.79217264615505
2015,F&B,>140,3.9809309710878664
2015,Retail goods,100-120,1.0332120668282638
2015,Retail goods,120-140,0.7572902173312407
2015,Retail goods,20-40,20.425804610546475
2015,Retail goods,40-60,3.788100597040284
2015,Retail goods,60-80,1.9043185006610415
2015,Retail goods,80-100,1.338041585806293
2015,Retail goods,<20,68.00143672354454
2015,Retail goods,>140,2.7517956982418696
2015,Exercise,100-120,2.3904831707729604
2015,Exercise,120-140,1.969517580951307
2015,Exercise,20-40,18.386235928661367
2015,Exercise,40-60,7.498449568698201
2015,Exercise,60-80,4.749018060175528
2015,Exercise,80-100,3.319802296517637
2015,Exercise,<20,54.255699009603276
2015,Exercise,>140,7.4307943846197215
2015,Training,100-120,2.027590230891056
2015,Training,120-140,1.4899558222889056
2015,Training,20-40,21.43660915228807
2015,Training,40-60,7.764441110277569
2015,Training,60-80,4.161457030924398
2015,Training,80-100,2.7736100691839627
2015,Training,<20,55.195048762190545
2015,Training,>140,5.1512878219554885
2019,Beauty,100-120,2.171895057710454
2019,Beauty,120-140,1.6768158826751558
2019,Beauty,20-40,18.72673218474593
2019,Beauty,40-60,6.815562100239594
2019,Beauty,60-80,4.160295820957515
2019,Beauty,80-100,2.925455182
2019,Beauty,<20,58.02977444070131
2019,Beauty,>140,5.493469331434043
2019,Daily service,100-120,1.8240917102455116
2019,Daily service,120-140,1.4166234513152816
2019,Daily service,20-40,17.368403196805133
2019,Daily service,40-60,5.980099936509783
2019,Daily service,60-80,3.505726235999438
2019,Daily service,80-100,2.454987374655287
2019,Daily service,<20,62.34354831153179
2019,Daily service,>140,5.106519782937771
2019,Entertainment,100-120,2.261223928068995
2019,Entertainment,120-140,1.6598874548902072
2019,Entertainment,20-40,19.696158786470118
2019,Entertainment,40-60,7.580356596733745
2019,Entertainment,60-80,4.442932289436663
2019,Entertainment,80-100,2.9936846290292984
2019,Entertainment,<20,55.370741329744945
2019,Entertainment,>140,5.995014985626032
2019,F&B,100-120,1.9529938801681608
2019,F&B,120-140,1.4773129575754722
2019,F&B,20-40,16.534761467051375
2019,F&B,40-60,5.858522643138329
2019,F&B,60-80,3.653279775658053
2019,F&B,80-100,2.5911199575646955
2019,F&B,<20,62.11820898429471
2019,F&B,>140,5.813800334549211
2019,Retail goods,100-120,1.8701341833391412
2019,Retail goods,120-140,1.4459440814785756
2019,Retail goods,20-40,17.275846412502418
2019,Retail goods,40-60,5.4520759017242
2019,Retail goods,60-80,3.485192546131407
2019,Retail goods,80-100,2.5179940496712625
2019,Retail goods,<20,62.74325032154554
2019,Retail goods,>140,5.209562503607453
2019,Exercise,100-120,3.154724988978637
2019,Exercise,120-140,2.4321719183148898
2019,Exercise,20-40,20.746314381570787
2019,Exercise,40-60,9.956587038877391
2019,Exercise,60-80,6.184665735143577
2019,Exercise,80-100,4.308418826729233
2019,Exercise,<20,44.61597088865808
2019,Exercise,>140,8.601146221727403
2019,Training,100-120,2.565390378172717
2019,Training,120-140,1.9572219821660055
2019,Training,20-40,21.052166398240168
2019,Training,40-60,8.794942732563033
2019,Training,60-80,5.1581378122211685
2019,Training,80-100,3.546877367437528
2019,Training,<20,49.87191286146387
2019,Training,>140,7.053350467735509
2023,Beauty,100-120,2.2705022184264796
2023,Beauty,120-140,1.7211258140796497
2023,Beauty,20-40,23.955292751691104
2023,Beauty,40-60,8.395061952016055
2023,Beauty,60-80,4.678303254688402
2023,Beauty,80-100,3.1824163324008
2023,Beauty,<20,49.98193198274527
2023,Beauty,>140,5.815365693952241
2023,Daily service,100-120,1.8630068776647062
2023,Daily service,120-140,1.4521519932779385
2023,Daily service,20-40,23.434662185292378
2023,Daily service,40-60,6.9929356113652625
2023,Daily service,60-80,3.67491364018299
2023,Daily service,80-100,2.5218311393271713
2023,Daily service,<20,54.511499081940684
2023,Daily service,>140,5.5489994709488695
2023,Entertainment,100-120,2.630197184008789
2023,Entertainment,120-140,1.8381491683697786
2023,Entertainment,20-40,25.420661911416637
2023,Entertainment,40-60,10.956192999604179
2023,Entertainment,60-80,6.056885284305252
2023,Entertainment,80-100,3.798276154548318
2023,Entertainment,<20,43.30293312222824
2023,Entertainment,>140,5.9967041755188095
2023,F&B,100-120,2.238490456065558
2023,F&B,120-140,1.6734380959267108
2023,F&B,20-40,21.41483591541794
2023,F&B,40-60,7.421572940187518
2023,F&B,60-80,4.432742624790331
2023,F&B,80-100,3.071263106593023
2023,F&B,<20,53.313814764383515
2023,F&B,>140,6.433842096635406
2023,Retail goods,100-120,2.223422444980957
2023,Retail goods,120-140,1.7036346691519106
2023,Retail goods,20-40,20.93860028912975
2023,Retail goods,40-60,6.673114602519979
2023,Retail goods,60-80,4.16226489862113
2023,Retail goods,80-100,2.991979217882015
2023,Retail goods,<20,55.0877296
2023,Retail goods,>140,6.219254280074264
2023,Exercise,100-120,3.451281492543053
2023,Exercise,120-140,2.5450397041575603
2023,Exercise,20-40,24.538387094706753
2023,Exercise,40-60,11.931115369578732
2023,Exercise,60-80,7.112139409981477
2023,Exercise,80-100,4.656185709066904
2023,Exercise,<20,36.63549724730659
2023,Exercise,>140,9.130353972658929
2023,Training,100-120,2.8100644069065392
2023,Training,120-140,1.998140059829035
2023,Training,20-40,23.688900533509155
2023,Training,40-60,10.715098049941984
2023,Training,60-80,6.0453813885058
2023,Training,80-100,4.016722186552575
2023,Training,<20,43.45206047396803
2023,Training,>140,7.273632900786875
