Year,Big_cate,LayerType,Percentage(%)
2015,Beauty,1 Underground,0.5355453903417159
2015,Beauty,2 Ground floor,86.45065171332101
2015,Beauty,3 Low rise,5.20796679918046
2015,Beauty,4 Mid rise,2.501291447993951
2015,Beauty,5 High rise L1,1.8480807959811636
2015,Beauty,6 High rise L2,3.2062847973487263
2015,Beauty,7 High rise L3,0.22971553206409573
2015,Beauty,8 Extra high rise,0.02046352376888197
2015,Daily service,1 Underground,0.22119650688522074
2015,Daily service,2 Ground floor,92.72599579525715
2015,Daily service,3 Low rise,2.1273039780666583
2015,Daily service,4 Mid rise,1.4704727321878361
2015,Daily service,5 High rise L1,1.2364903000491345
2015,Daily service,6 High rise L2,2.0489445218703253
2015,Daily service,7 High rise L3,0.16247257875673318
2015,Daily service,8 Extra high rise,0.007123586926939396
2015,Entertainment,1 Underground,0.537960743780154
2015,Entertainment,2 Ground floor,87.01957261429499
2015,Entertainment,3 Low rise,6.467321746308674
2015,Entertainment,4 Mid rise,3.0376919368321014
2015,Entertainment,5 High rise L1,1.093957566655452
2015,Entertainment,6 High rise L2,1.6884544814453835
2015,Entertainment,7 High rise L3,0.1470634141604032
2015,Entertainment,8 Extra high rise,0.007977496522852059
2015,F&B,1 Underground,0.7305555191896598
2015,F&B,2 Ground floor,94.72519539395799
2015,F&B,3 Low rise,2.868246775228217
2015,F&B,4 Mid rise,0.9263702825380735
2015,F&B,5 High rise L1,0.2864468878170301
2015,F&B,6 High rise L2,0.37722863197110845
2015,F&B,7 High rise L3,0.07499686733783564
2015,F&B,8 Extra high rise,0.010959641960092689
2015,Retail goods,1 Underground,0.34709822257008566
2015,Retail goods,2 Ground floor,96.35235521216416
2015,Retail goods,3 Low rise,1.7461716925873478
2015,Retail goods,4 Mid rise,0.7351455404249634
2015,Retail goods,5 High rise L1,0.3352629855643099
2015,Retail goods,6 High rise L2,0.4073053515890146
2015,Retail goods,7 High rise L3,0.0705578066790325
2015,Retail goods,8 Extra high rise,0.006103188421096908
2015,Exercise,1 Underground,1.5306985397756103
2015,Exercise,2 Ground floor,78.00078931048091
2015,Exercise,3 Low rise,9.741406851966698
2015,Exercise,4 Mid rise,5.957414820243934
2015,Exercise,5 High rise L1,2.0343537990265173
2015,Exercise,6 High rise L2,2.5286125049331907
2015,Exercise,7 High rise L3,0.19732762022890005
2015,Exercise,8 Extra high rise,0.009396553344233335
2015,Training,1 Underground,0.5376344086021506
2015,Training,2 Ground floor,69.42777361006918
2015,Training,3 Low rise,13.280403434191882
2015,Training,4 Mid rise,7.624822872384762
2015,Training,5 High rise L1,3.5613069934150205
2015,Training,6 High rise L2,5.205468033675086
2015,Training,7 High rise L3,0.345919813286655
2015,Training,8 Extra high rise,0.01667083437526048
2019,Beauty,1 Underground,0.265380278509912
2019,Beauty,2 Ground floor,86.56505371023651
2019,Beauty,3 Low rise,4.8303670861552055
2019,Beauty,4 Mid rise,2.2837478274080403
2019,Beauty,5 High rise L1,1.932578913697051
2019,Beauty,6 High rise L2,3.7779753882092546
2019,Beauty,7 High rise L3,0.3160450533199714
2019,Beauty,8 Extra high rise,0.02885174246405031
2019,Daily service,1 Underground,0.14068010462153854
2019,Daily service,2 Ground floor,91.3281087185154
2019,Daily service,3 Low rise,2.5287200339906915
2019,Daily service,4 Mid rise,1.8936563095220786
2019,Daily service,5 High rise L1,1.4761717822334017
2019,Daily service,6 High rise L2,2.409849545956093
2019,Daily service,7 High rise L3,0.2061089543823597
2019,Daily service,8 Extra high rise,0.01670455077844176
2019,Entertainment,1 Underground,0.4679185271270414
2019,Entertainment,2 Ground floor,83.19354394764206
2019,Entertainment,3 Low rise,9.15537647562542
2019,Entertainment,4 Mid rise,3.043381858217628
2019,Entertainment,5 High rise L1,1.3773778212734724
2019,Entertainment,6 High rise L2,2.4967123371460027
2019,Entertainment,7 High rise L3,0.253073582482109
2019,Entertainment,8 Extra high rise,0.012615450486268272
2019,F&B,1 Underground,0.45466682578575357
2019,F&B,2 Ground floor,95.56317180750369
2019,F&B,3 Low rise,2.5393330808182606
2019,F&B,4 Mid rise,0.6547497646141768
2019,F&B,5 High rise L1,0.2779927526311525
2019,F&B,6 High rise L2,0.3865955207444858
